Ticker,Opportunities,Threats
ABT,4. Leverage its core business expertise and resources to create sustainable solutions in countries around the world.,-
-,-,-
ACN,1. Accenture will benefit from its standing as one of the leading IT companies as the technology is constantly evolving,1. Premium offering may not resonate with midmarket customers
ACN,2. Due to the recession businesses are going to be looking for ways to cut back and streamline their operations. Thus Accenture stands a great chance as it is expert in outsourcing.,2. Increasing presence of Accenture's competitors
ACN,3. Global penetrations and offering special fees for smaller projects can help increase the reach,3. Growing impact of online databases and companies can affect revenues
-,-,-
ADBE,"1. Acquisition of small companies, within the same market segment","1.The biggest threat is the change, as market is growing, changes are taking place so adobe has to adapt the change"
ADBE,2. Growth of online market segment,2.Other companies are coming into graphics editing segment.
ADBE,"3.With the growth of social media facebook, google+ and others there is growing market for photo and video editing hobbies.",-
-,-,-
ADI,1. New Product launches,1. Economic slowdown in US and Eurozone
ADI,2. Mobile Platforms and Tablets,2. Declining end market
-,-,-
ADM,1.Investment in GrainCorpwill help grow their Agricultural Services and Oilseeds businesses by investing in key supply regions outside the United States,1. Fluctuations in prices of fuels and energy products can have adverse effects on the company’s production costs and profitability
ADM,"2.New partnerships with Wilmar International will help strengthen ADM’s global marketing reach, while delivering a best-in-class service to the customers",2.Markets within which it operates are highly competitive
ADM,"3.The health and wellness market offers opportunities, with a demand for natural and scientifically proven ingredients.",3. Vulnerable to development of new substitution products
ADM,"4. There are also new opportunities in some categories, as suppliers look to develop cheaper alternatives to costly ingredients. For example, as cocoa prices continue to fluctuate, cheaper alternatives such as cocoa butter equivalents are becoming a popular alternative.",4. Use of GMOs is against the regulations of governments in certain countries so it faces a risk of losing markets in these nations
-,-,-
ADP,1. Strong demand growth in cloud based systems,1. Online data privacy breach may lead to lead to litigations
ADP,2. Demand for HR services have been increasing especially SaaS based,2. More players are entering into the market with customized solutions
ADP,"3. Mobile based application demand is on the rise, which ADP can take advantage of",3. Intense competition in HCM solution market
-,-,-
AES,1.Can enter other unexplored markets,1.Rising Fuel Prices
AES,2.Renewable Energy,2.Currency fluctuations
AES,3. Increasing demand of Electricity in the U.S.,3. Environmental obligations
-,-,-
AIG,1.Expansion in other countries,1.Changing govt regulations and financial crisis like recessions
AIG,2.Diversifying portfolios for customers,2.Natural disasters
AIG,3.India and China are untapped markets,-
AIG,4.Mergers and acquisitions and joint-ventures,-
-,-,-
AKAM,1.Increase in bandwidth demands forcing the use of cloud computing,1.Intense competition from existing and new players in the industry
AKAM,2.Growth through Merger and Acquisitions,2.Regulations related to data privacy
AKAM,3.Cyber security – an increasingly growing area,3.Rapid technological advancements
-,-,-
ALL,1. There is an opportunity of increase in revenues owing to the growth in the global property and casualty insurance market.,1. US market is witnessing intense competition in this segment.
ALL,2. There is an expected synergy in the acquisition made by Allstate of a direct channel auto insurer in terms of increase in market share.,2. There has also been an increase in the fraudulent activities in the insurance industry.
ALL,3. The company has planned an organic growth initiative which is expected to increase its hold in the US market.,3. Major climate changes are likely going to occur and such catastrophic events are going to affect the property and casualty insurers.
-,-,-
AMAT,1.Strong presence in Asian market,1. Fluctuating Semi-conductor market
AMAT,2. Strategic Acquisitions,2.Exchange rate fluctuations
-,-,-
-,-,-
AMCR,1. Growing demand in African market where it does not have much presence,1. With the growing concern about the impact of PET on environment there can be some limitations put on its use
AMCR,2. Value creating acquisitions,2. Major companies could start their own wing of packaging
AMCR,3. Acquisition of smaller companies and tie-ups with global players,3. Scarce raw material
-,-,-
AMD,1. Innovation for mobile platforms and tablets,1. Competition from Intel and Nvidia
AMD,2. New product and services expansions,2. Environmental regulations
AMD,3. Presence in virtualization space,3. Declining PC shipment
-,-,-
AME,1.With its expertise it can easily diversify into newer segments and utilize its proficiency in the core two segments,1.Stringent environmental regulations and high construction costs of oil refineries has led to a weak market in US
AME,2. AMETEK should undertake more green initiatives. Should leverage on High R&D to adapt green technologies for production processes,"2. A negative outlook of US economy, which constitutes the half of the market of AMETEK"
-,-,-
AMGN,1.There are still many life threatening diseases with no cures which can be developed,1.Sales of products affected by third party payers including government and US legislation affecting pharmaceutical pricing
AMGN,2.Expansion to Asian and African markets,"2.Research, processing, testing and selling subject to extensive regulation by domestic and foreign government regulatory authorities"
AMGN,"3.With new innovations in technology, more opportunity for growth",3.Protection provided by patents is limited and can be challenged by competitors
-,-,-
AMP,1.Global asset management industry likely to grow,1.Increased competition to keep market share and margins under pressure
AMP,2.Improving economic prospects in US could increase demand for financial products,2.Economic downturns and corporate malfeasance could add to defaulters
AMP,3.Grail Advisors acquisition likely to benefit the company from ETFs(Exchange Traded Funds) market expansion,3. Increased regulatory compliances affect margins and functioning
AMP,4. Online market offers the ability to expand business,-
-,-,-
AMT,1.IPAD applications,1.Global economic conditions
AMT,2.Wireless Tower Expansion,2.Patent litigations
AMT,3.Data services for mobile devices have higher margins for wireless carriers,-
AMT,4. Emerging Markets,-
AMT,5. Data Intensive Applications,-
AMT,6. Smart phone applications increasing,-
-,-,-
AMZN,1.The markets devoid of internet and increasing internet can boost Amazon's presence,1. Amazon can be subjected to online issues which can affects its brand image 
AMZN,2.Customers reluctant in shopping online can be persuaded,2. Newly emerging competitive online shopping portals can be challenging
AMZN,3.Partnership with corporate houses for bulk selling can help boost sale of Amazon,3. Strict government policies and taxation can affect margins
AMZN,4.Acquisition of smaller business can help boost the business worldwide,4. Risk of brand dilution by selling a very wide range of products
AMZN,"5.Gaming is one of the area, Amazon can explore through its network",5. Amazon faces a lot of local competition in different regions in operates in
-,-,-
ANTM,1. Further expansion by acquisitions to ensure complete range of managed healthcare services,1. Brand equity may be adversely affected by multiple controversies
ANTM,2. Banking upon market leadership in US to expand into new markets,2. Highly competitive market makes maintaining market share a major challenge
ANTM,3. More product offering and services and trying to attain first mover advantage in certain segments,3. Threat of data breach may lead to apprehension in mind of consumers
-,-,-
AON,1.Expansion in other countries,1.Changing govt regulations and financial crisis like recessions
AON,2.Diversifying portfolios for customers,2.Natural disasters
AON,3.Investment in Healthcare sector,3.Price competition
-,-,-
-,-,-
APD,1. Strategic acquisitions of Xebec Adsorption Inc.’s advanced adsorption technology and DuPont’s interest in DuPont Air Products Nano Materials LLC to gain 50 % share in DuPont’s industrial gases manufacturing units have created a big opportunity for Air Products to expand their business and create a wider stronghold.,"1. Strong competition, especially from Praxair"
APD,"2. Expansions in Europe, Russia, China, India & Japan and other emerging economies have resulted in new avenues for growth of the group.","2. Risks associated with conducting business outside US, especially in the Middle East countries"
APD,3. Contracts with Exxon Mobil in order to increase energy efficiency and reduce CO2 emissions.,"3. Impact of natural disasters, such as Hurricane Katrina, have created doubts on plant & worker safety"
APD,4. Increase in automobile sales in the US has created a strong demand by automobile companies for an increased supply of industrial gases.,"4. Economic instability of the EU nations, is hampering the expansion & profitability of the company"
APD,5. Increase in global energy consumption has also resulted in an increase in the demand for industrial gases.,5. Rising labor costs in the US have increased labor demands and strikes
APD,6. Positive outlook of the chemicals industry over the next decade is looking good for the company’s future growth.,6. Shortage of skilled labor is a big deterrent in the company’s growth.
-,-,-
APH,1. Growing smartphones and tablets market,1. Changes in defence expenditure may alter company’s profitability as it is heavily dependent on governments’ spends on defence
APH,2. Leading provider of circuits that are used in majority of the world’s phones,2. Operations in over 70 countries makes the company vulnerable to global fluctuations and slowdowns
APH,"3. North American coaxial cable market of which the company is a part, is expected to grow",3. Amphenol faces intense competition especially in relation to delivery time of products
-,-,-
-,-,-
-,-,-
-,-,-
ATVI,1. Fast growing online gaming segment,1. Piracy
ATVI,2. Expansion into gaming consoles market,2. Third-party developers lead to threat to competitive advantage
ATVI,3. Mobile gaming,3. Advent of low-graphics low-technology mobile games taking away subscriber base
ATVI,4. Increase in use of interactive peripheral based games,4. Failure of high-cost game titles
-,-,-
-,-,-
AVGO,1.Growth in Digital TV segment,1. World economic slowdown in US and Eurozone which are biggest market for Broadcom
AVGO,2. Aviation industry growth favors Broadcom,2. Intense competition
AVGO,3. Increasing adoption to 3G technology and mobile devices,3. High exposure to financial market
-,-,-
AVY,1. Emerging markets like India and China look promising markets for the company’s products and services.,1. Labor costs are constantly increasing and strikes & shutdowns have become a menace.
AVY,2. Strategic acquisitions of Paxar Corporation and mergers with 3M’s office and consumer products’ operations have exposed the company to a wider customer base in other economic zones as well.,"2. Competitors are coming up with better products, with a trend to follow the incessant technological advancement in the sector."
-,-,3. Govt. regulations have created a multitude of risks in the industrial sector which are an added adversary to the company’s growth.
-,-,-
AWK,1.Expansion in other countries can be a huge opportunity for American Express,1.Changing govt regulations and financial crisis like recessions can affect American Express adversely
AWK,2.Diversifying portfolios for existing customers,2.Uncertainity in interchange fee
AWK,3.Innovative schemes for easier usage and venturing into online payments,3.Fierce competition with other companies can reduce American Express's business
-,-,-
AZO,1. Strong expansion in automotive and accessory market.,1. The company was sued by the US Equal Opportunity Employment Commission for firing an employee.
AZO,2. Increase in North American aftermarket.,"2. In 2009, AutoZone was accused of infringing a patent owned by Lisle Corporation in a lawsuit filed in the Southern District of Iowa."
AZO,3. Moderate growth in U.S engines market.,-
-,-,-
BA,1. Boeing can become a pioneer in clean & green fuel technology in aviation,1. Changing government policies and higher taxation can lead to loss of business
BA,"2. With militaries across the world strengthening their forces, the company can supply defense equipment globally","2. Economic recession, pandemics can lead to Boeing losing business globally"
BA,3. Growth in aviation tourism can lead to more business for Boeing globally,3. Lawsuits against manufacture of defense equipment can cause issues in business operations
BA,4. Strategic partnerships with international airline companies can boost its business,-
-,-,-
BAC,1.Expansion in other countries can be a huge opportunity for Bank of America,1.Changing govt regulations and financial crisis like recessions
BAC,2.Diversifying portfolios for customers,2.Competition from other banks can reduce Bank of America's market share
BAC,3.Growing credit card value for the consumers,-
BAC,4.Mergers acquisiitions and JVs,-
-,-,-
BAX,1. Increased global presence,"
1, Updated R&D with competition
"
BAX,2.Environment friendliness,2.Entanglement in legal issues
BAX,3.Pricing power in industry,3.Controversies gives negative publicity
-,-,-
BBWI,1. It has a huge potential to grow its natural and ecofriendly products,"
1. Fierce competition in personal and beauty care category
"
BBWI,2. Online expansion due to growth of ecommerce,2. Sales are severely affected by the performance of the economy
BBWI,3. Increase in demand from emerging economies,-
-,-,-
BBY,1. Expanding into lifestyle segment,1.Presence only in consumer durables so can be easily substituted
BBY,2. Attracting more customers by leveraging through online media,2. Brand recall as different brand names present
BBY,3. Penetration into the emerging economies to increase global visibility,3. Change in govt policies to affect operations
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
BK,1. Expansion in Latin American countries will improve the revenues of the bank,1.US regulatory changes affecting the bank
BK,2.Service expansion with Touchstone investments will help in growth in mutual fund area and advisory services,2.Changes in status of US pension plans/schemes will affect the bank
BK,"3.Expansion in retail banking will help the bank to compete with other top US banks (Citi, Wells Fargo, BOA, JPMC, US Bancorp),thus a high opportunity in retail banking",3.Slowing US economy has a significant impact
-,-,-
-,-,-
BKR,1.Increasing fuel/oil prices,1.Government regulations
BKR,2.Increasing natural gas market,2.High Competition
BKR,3.More oil well discoveries,3.Economic instability
BKR,4.Infrastructure growth means more automobiles and construction equipment which require more fuel.,-
BLK,"1. Emerging scope in Europe, Middle East and Africa",1. Intensifying competition
BLK,2.Increase in short sells in America real estate industry,2.Volatile market
BLK,3. Growth prospects and merger opportunities,3.Consolidation in financial industry
-,-,-
BLL,1.Its looking forwarding to acquiring the Brazilian venture of its competitor REXAM PLC,1.Competition within the packaging and aerospace industries is intense
BLL,2.It can spread to other territories in Asia where its presence is restricted to China and Hong Kong,2.Increasing productivity with surplus capacity in the industry has led to pressure on pricing
BLL,"3.Making the processes more environment friendly, Ball Corp publishes its sustainability report on its website since 2008.",3.Competition from national as well as small regional level manufacturers
-,-,-
BMY,1. Security technologies to make packaging and products less vulnerable to counterfeiting and to secure their movement within the supply chain,"
1. The company acquires biotech companies, technology and expertise and hence a threat to its culture is infused ever more deeply.
"
BMY,"2. An integrated team addresses counterfeiting, product tampering, theft and diversion issues","2. Counterfeit drugs and product tampering, theft or diversion represent a threat"
BMY,3. Expand access to its products through strategic acquisitions & partnerships.,3. Pricing pressures
-,-,4. Global economic slowdown
-,-,-
-,-,-
BSX,1.Acquisitions of competitors similar to Guidant in 2006,1.FDA rulings and government interventions in healthcare industry
BSX,2.Spinoffs from parent company like Navilyst Medical,"2.Acorss product portfolio, company has to deal with multiple competitors"
BSX,3. Geographical expansion to growth markets,3.Loss of investor confidence resulting in lesser market capitalization
-,-,-
BWA,1. Green Energy and wide product portfolio,1. Intense Competition from Local Companies
BWA,2. Global Expansion,2. Reducing Cost of Technology
BWA,3. Enter emerging economies like India & China,3. Fluctuating economic scenarios can affect operations
-,-,-
C,1.Expansion in other countries,1.US mortgage market is unstable
C,2.Diversifying portfolios for customers,2.Changing govt regulations and financial crisis like recessions
C,3.Growth in infrastructure sector,-
-,-,-
-,-,-
CAH,1. They have acquired Yong Yu in china which gives them considerable opportunities in emerging market & broadens their portfolio,1. Stringent regulation in healthcare industry
CAH,2. Opportunity to improve footprint in independent pharmacy via acquisition of Kinray,2. Disruption of manufacturing supply chain due natural disasters
CAH,3. Need to improve branding to survive in increasing competition,3. Global economic slowdown
-,-,-
CARR,1. Investments in green building solutions for the future will help in new business and reduce its carbon footprint,1. Stricter government policies on environment regulation may affect operations
CARR,"2. Strategic acquisitions like Environment market Solutions, Inc. will help bolster its portfolio",2. Heavy dependence of US domestic market for revenues
CARR,3. Strong outlook for the global control systems market especially in developing countries,3. Greater emphasis on green solutions needs heavy investments and cutting back on traditional strength
-,-,-
CAT,1. Higher construction and mining activity in the emerging markets,"1. Stiff competition from Joy Global, which is upgrading and setting up new capacities in China"
CAT,"2. After the Bucyrus acquisition, Cat has a broader mining product range than closest competitor and mining giant Joy Global",2. High inflation and construction slowdown in U.S. & China remains a challenge
CAT,3. Future trends such as natural-gas powered vehicles can provide Cat newer avenues,3. Mining operations dependent upon material prices and political stability
-,-,-
-,-,-
-,-,-
CBRE,1. Acquisition for stronger market presence,1. Volatile global financial markets.
CBRE,2.New market contract,2. Credit market crisis
CBRE,3. Expansion globally into emerging economies,3. Immense competition.
-,-,"4. Commercial real estate industry is highly cyclical, and also highly correlated to the macroeconomic state"
-,-,5. Tighter economics policy.
-,-,-
CCI,1. Wireless Tower Expansion which is bound to happen.,1.Technological Changes needing regular updated infrastructure
CCI,2. Ever Increasing Mobile Broadband demand,2.Capital Infusion due to poor financial management
CCI,3. Digital Media requirements of the huge customer base.,3.Economic Woes across US impacting returns
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
CE,"1. The company's emulsions products are used in variety of applications including paints and coatings, adhesives, building and construction, glass fiber, textiles and paper offering scope of extensive expansion",1. Stringent norms affect the effective functioning of the company
CE,2. Its is strong in global technological developments which can be used to attract new opportunities,2. Tarnished image threatens the customer perceptions of the company
CE,3. The open organizational policy with acquisitions can be further leveraged to increase the products portfolio,3. Fluctuating economic condition especially in Europe along with increasing competition can affect the profit margin
-,-,-
CERN,1. Opportunity of expansion of services to other niche segments like airline and hospitality segments,1. Price war by competitors from developing countries like India
CERN,2. High growth opportunities in developing markets,2. Slowdown/recession in healthcare industry
-,-,3. Changes in government regulation can lead to frequent changes in system adding to cost and complexity
-,-,-
CF,1. Emerging economies are consistently growing with increasing demand for agricultural products and fertilizers.,1. Strong competition from big players in the fertilizer market have resulted in weak demand for the company’s products.
CF,2. Increasing food consumption with a growing population in countries like India and China are strong indicators for the increasing demand for nitrogen fertilizers.,2. The effect of government regulations on Agriculture and crop prices has adversely affected the demand and supply of fertilizers.
CF,"3. Corn production is about to hit an all-time high in the United States, which demands nitrogen as a primary nutrient.","3. The emerging economies are purchasing very cautiously, due to which product demand has declined."
-,-,-
-,-,-
-,-,-
CHRW,1. Tie-ups with corporate and business houses,"
1.Cheaper technology
"
CHRW,2.New markets like the emerging economies,2.Policy changes and increasing fuel prices
CHRW,3.Rising demand for modal services, 3.Fluctuations in exchange rates
-,-,-
CHTR,1. Change in national go-to-market approach and operating strategies designed to create competitive advantage,"1. Competition from satellite and overbuilders for many years,"
CHTR,"2. Enhancing products and service to increase revenue per customer, lower transaction costs and extend customer relationship",2. Charter is quite accustomed to competing with ILECs
CHTR,"3. Compelling products, pricing and packaging encourage adoption of fully-featured services throughout the home",-
CHTR,"4. Charter is starting to see competition emerge from Internet-based video delivery services, such as iTunes and Netflix, which give producers a direct channel to consumers, and even free services such as YouTube",-
-,-,-
CI,1.Strategic alliances with other complementary firms,1.Rising unemployment and government interventions
CI,2.Can leverage international markets to create new markets,2.Susceptible to price wars
CI,3.Acquisitions and mergers to consolidate market share,3.Exchange rate fluctuations
-,-,-
-,-,-
CL,1. Tap rural markets and increase penetration in urban areas,"
1. Intense and increasing competition amongst other FMCG companies
"
CL,2.Mergers and acquisitions to strengthen the brand,2.FDI in retail thereby allowing international brands 
CL,3.Increasing purchasing power of people thereby increasing demand,3. Competition from unbranded and local products
-,-,-
-,-,-
-,-,-
CMCSA,1. Graduated response to data usage so as to reduce bandwidth and avoid clogging,"1. Regulatory changes by federal, state and local government could affect future growth opportunities"
CMCSA,2. Changing trends towards 3D Televisions and streaming content can be tapped by Comcast,2. Satellite communications & streaming content providers can threaten cable providers
CMCSA,3. Network upgrades to triple-play services could help future growth along with growing digital cable and internet access market,3. Audience fragmentation of traditional media is to reach those audiences more difficult and expensive
CMCSA,4. Commercial business services to SMBs can lead to business growth for Comcast,4. Increasing content cost of operations and higher competitor activity can reduce Comcast's margins
CMCSA,5. Expand its horizon by acquisition and joint ventures especially to tap international markets,-
-,-,-
-,-,-
CMG,1. Expansion in other European & Asian countries can help the business grow,1. Intense competition from other companies in the fast food restaurant segment
CMG,2. Addition of new items to the Chipotle menu can attract more customers,2. Volatility in price of raw materials can lead to loss of margins
CMG,3. The brand can tie-up with players in the hospitality industry to build a sustainable channel,"3. Economic instability, recessions, lawsuits etc. can impact the business negatively"
-,-,-
CMI,1.Opportunities in the Asian market,1. Intense competitive pressure
CMI,2.Rise in the demand for Diesel engines worldwide,2. Rising labor wages in the U.S.
CMI,"3. Strategic joint ventures with Fluid companies, OEM’s etc. could pave the way for independent business units",3. Potential Currency exchange losses
CMI,4. Tightening of Emission standards,-
CMI,5. Growth in filtration market,-
-,-,-
-,-,-
-,-,-
-,-,-
COF,1. Can expand to other geographic locations,1. Banking operations depend upon the economic outlook of the country
COF,2. Can acquire small banks or form strategic alliance with large banks,2. Highly vulnerable to the changes in the regulations and guidelines by the Fed
COF,"3. Can diversify to other domains like wholesale banking, private banking, priority banking, merchant banking, investment and advisory services","3. Entry of new players can bring challenges to the operations and in turn can result in reduced market share, lesser revenues & lower profits"
-,-,-
-,-,-
COP,1.Increasing fuel/oil prices,1.Government regulations
COP,2.Increasing natural gas market,2.Pollution guidelines
COP,3.More oil well discoveries,3.High labour costs
COP,4.Increasing demand for gas and refined products,4.Hybrid cars not using Fuel
-,-,-
COST,1. Tapping the international market specially emerging economies,1. Increasing competition from retailers and ecommerce portals can affect the business of Costco
COST,2. Acquisition of smaller retail chains can help Costco grow globally,2. Government policies and taxation can affect the margins
COST,3. More visibility through advertising and customer focused services,"3. Increase labor wages and demand, and brand switching can be a threat"
-,-,-
CPB,1.Stabilizing and then profitably growing its North America soup and simple meals business,1. Growing share of private label in the condensed soup market as it may affect pricing structure of Campbell
CPB,"2. Expanding its international presence, particularly in emerging markets",2.Low adoption rates of new productsas it might lead to heavy promotional and marketing spends thus reducing margins
CPB,3. Continuing to grow its healthy beverages and baked snacks businesses,3. Laws and regulations on the safety of meat products used
CPB,4. Leveraging on the initial success of integration of Bolthouse into Campbell’s business for future growth,-
-,-,-
-,-,-
-,-,-
CRM,1. Strategic Acquisition like InStranet,"1. Economic slowdown in US, which is major customer base region"
CRM,2. Alliance with google.com,2. Data privacy and Hacking issues
CRM,3. Growing on-Demand market for CRM software,3. Regulatory Issues like data should be on shores
-,-,-
CSCO,1.Expansion through Strategic Alliances and Acquisitions,1.The use of cloud servers is lowering sales and especially profits margins for cisco's core business.
CSCO,2. Smart grid infrastructure could increase demand,2. Open Source Competitors
CSCO,3. Wi-Fi Home Calling and mobile broadband,3. High competitive rivalry
CSCO,4. Data intensive applications,4. Virtualization
CSCO,5. Data Mining,-
-,-,-
CSX,1. Growth in North American light vehicle market,1. Slowdown in US economy
CSX,2. Increased demand of coal in US,2. Rising fuel prices
CSX,3. Expansion in central and western US,3. Intense price competition
-,-,-
-,-,-
-,-,-
-,-,-
CTSH,1. Expansion into other verticals and geographies especially Europe markets,1. Rising inflation and wage bill in India could lead to decrease in profits
CTSH,2. It has already overtaken Wipro & Infosys in revenues with strong performance and TCS remains within sight,2. Anti-outsourcing legislation could impact revenues
CTSH,"3. Emergence of Cloud and Enterprise mobility, which can push the demand for IT services across the globe","3. May be a target of takeover by bigger firms like IBM, Accenture"
CTSH,4. Its Big data capabilities are stronger than its peers in the IT services sector,-
-,-,-
-,-,-
CTXS,1. Strategic acquisitions,1. Intense Competition in the market
CTXS,2. Technology partnership,2. Threat of new entrant with low price value proposition
CTXS,3. Growing virtualization market,3. Threat due to fluctuation in the currency
CTXS,"4. Making and selling low-cost, unbranded low-price computers",-
-,-,-
-,-,-
CVX,1.Increasing fuel/oil prices,1.Government regulations
CVX,2.Increasing natural gas market,2.High Competition
CVX,3.Capital investments in sector,3.Fuel Cell and Electric Automobiles
CVX,4.CSR activities,-
CVX,5.To reposition itself as energy company,-
-,-,-
-,-,-
-,-,-
DAL,1. Growing operations to other cities within the USA can increase its business,1. Flight operating costs might increase and leading to loss of margins for Delta Airlines
DAL,2. Global flights and internal expansion can help ramp up the business for Delta airlines,2. Increase in fuel prices can lead to lesser profits for the airline
DAL,3. Alliances with global airlines to offer international air travel at affordable prices,"3. Changing economic policies, recessions & pandemics can affect aviation sector, thereby impacting overall revenue"
-,-,-
-,-,-
DE,1. Deere’s capability to quickly budge into fresh rising market,"1.Deere will be forced to reduce its attention on further established market places, for example the U.S and will sprint the danger of down market share to very active competitors inside them"
DE,"2. Its present current policy of expansion and the supporting changes in Asia, Europe, and East have presented many fresh market places for them to compete in",2.Labor and workforce issues
DE,3. Collaborations and tie-ups with global companies,"3. Economy, interest rates and Government Regulations"
-,-,-
DFS,"1. Can diversify into Corporate banking, Preferred banking, etc.",1. Uncertainty in the economic outlook poses challenges in its operations
DFS,2. Can tie up with financial institutions for issuing cards,2. Adapting to fluctuating Interest rates as well as new Govt. regulations becomes a difficult task for the firm
DFS,3. Can expand to other geographic locations,3. Increasing competitor activity can affect the business operations
-,-,-
DG,1. Tapping the international market specially emerging economies,1.Operatinal costs are increasing day by day
DG,2. Acquisition of smaller retail chains,2.Competition from local players
DG,3. More visibility through advertising and customer focused services,-
-,-,-
DGX,"1. Developing Markets like India, China and other Apac nations",1. Government owned Labs offer cheaper diagnostics
DGX,2. Horizontal expansion into new therapeutic areas,2. Changes in healthcare policy framework of different countries
DGX,3. More strategic acquisitions to extend expertise globally,-
-,-,-
-,-,-
DHR,1. Acquisitions to strengthen industrial technologies and diagnostics businesses,1. Intense competition may lead to pricing pressure from established regional and global competitors
DHR,2. Growing laboratory instruments market with consistent expected growth rate,2. Changes in healthcare and related industries for example reduction in amount of funding and reimbursements to customers by the government
DHR,3. Product and services expansion to industrial analyzers and the likes,3. Lower cost competitors or imports from counterfeit production companies
-,-,-
DIS,1. The Walt Disney brand can grow further in the online streaming & OTT content domain,1. Changing government & import-export policies can hamper its business
DIS,2. Acquisition of growing media & online platforms can further strengthened its position in the market,"2. Unauthorized access of content like movies, streaming content & other feeds can lead to loss of business"
-,-,3. Growth of several online video content channels & social media platforms can decline its position in the market
DISCA,1. Can make special programmes for India,1. Internet is reducing curiosity about particular topic
DISCA,2. Can introduce Indian hosts,2. Knowledge based tv channels need to reorganize and re-strategize themselves
DISCA,3. Scope for targeting kids,3. Majority of the shows are freely available on the internet without ad breaks
DISCA,"4. Can go in other linguals such as Marathi, Gujrati etc.",-
DISCA,5. Tailor made programmes for domestic audience,-
-,-,-
-,-,-
DISCA,1. More Online penetration would enhance reach and brand image,1 Competition
DISCA,2. Product and services expansion,"2 External changes (government, politics, taxes, etc)"
DISCA,"3. Discovery has cornered the educational media market. There is very little educational content on cable television, with reality shows and sitcoms bringing in the largest audiences","3 Maturing categories, products, or services"
-,-,4 Discovery is no longer the only provider of streaming content online
-,-,"5 Because Discovery focuses on educational entertainment, much of their content appeals to educational institutions"
-,-,-
DISH,1.Offer premium packages that lets viewer choose perfect combination of channels,1.It can be charged and fined for employing illegal telemarketing tactics. First is copyright infringement of TIVO and second is expiration of Cable Act in 2007
DISH,"2. Employ out-of-market distant network channels(ABC, CBS, NBC, FOX, and PBS)",2. Competition due to greater services from cable and wireless companies
DISH,3. Mobile digital communications should increase the demand for services,3. Lower cost competitors and imports
DISH,4. Demand from emerging markets can help growth and margins,4. Constant battle between network provider and satellite companies over carriage fees
DISH,5. Impart international programming and professional installation services,5. Economic slowdown and exchange rate fluctuations
DISH,6. Acquisitions and takeovers,6. Challenge from traditional cable companies which offers bundled services
-,-,-
-,-,-
-,-,-
DLTR,1. Tapping the international market specially emerging economies,1.Increased threat of private labels
DLTR,2. Acquisition of smaller retail chains,2.Slow year on year growth
DLTR,3. More visibility through advertising and customer focused services,3.High crude oil prices impacting raw material
-,-,-
-,-,-
DOW,1. Expansion of polyolefin encapsulate films capacity,1. Revenue decline along with high sensitivity to weakening economic conditions
DOW,2. Can leverage on their Global Leadership in Innovation Performance,2. Environment compliance costs could affect margins
DOW,"3. Increased demand of renewable energy generation and conservation, and increasing agricultural productivity",3. Intense competition may have a negative impact on the company's results of operations
DOW,4. Divesting non-core assets likely to help the company accelerate its value creation,-
-,-,-
DPZ,"1. Improve efficiency and home delivery service, which is Dominos' point of differentiation",1. Intensive competition from a fragmented number of small competitors offering variety of pizzas can reduce business for Dominos
